sentence_id,debate_audio_id,is_question,is_imperative,is_exclamatory,sentence_form,parse_tree_depth,n_clauses,n_subordinate_clauses,mean_dependency_length,n_negations,n_chars,n_words_spacy,mean_word_length,type_token_ratio,pct_function_words,pct_content_words,pct_pronouns_first,pct_pronouns_second,pct_pronouns_third,pos_noun_rate,pos_verb_rate,pos_adj_rate,pos_adv_rate,pos_pron_rate,pos_propn_rate,pos_aux_rate,pos_det_rate,pos_adp_rate,pos_cconj_rate,pos_sconj_rate,pos_intj_rate,pos_num_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index,gunning_fog,vader_compound,vader_pos,vader_neg,vader_neu,emp_power,emp_government,emp_politics,emp_negative_emotion,emp_positive_emotion,emp_aggression,emp_anger,emp_fear,emp_joy,emp_optimism,emp_pride,emp_certainty,emp_achievement,emp_work,emp_money,emp_business,emp_economics,emp_law,emp_leader,emp_independence,emp_patriotism,emp_war,emp_violence,emp_weapon,emp_family,emp_children,emp_youth,emp_health,emp_medical_emergency,emp_religion,emp_morality,emp_ethics,emp_help,emp_love,emp_hate
1001_t0001_s001,1001,0,0,0,declarative,2,1,0,0.667,0,11,2,5.5,1.0,0.0,0.6667,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.90500000000002,2.890000000000004,3.1291,0.8,0.4404,0.744,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001_t0001_s002,1001,0,0,0,declarative,8,2,1,2.375,0,108,22,4.909,0.7727,0.5,0.2917,0.0417,0.0417,0.0,0.125,0.0417,0.125,0.0,0.0833,0.125,0.0417,0.125,0.2083,0.0,0.0,0.0,0.0417,51.07260869565218,11.849565217391305,13.023866798666859,14.417391304347825,0.7096,0.219,0.0,0.781,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001_t0001_s003,1001,0,0,0,declarative,6,1,0,2.667,0,35,9,3.889,0.8889,0.25,0.0833,0.0833,0.0,0.0,0.0,0.0833,0.0,0.0,0.0833,0.5,0.0,0.0833,0.0833,0.0,0.0,0.0,0.0,82.39000000000001,3.7550000000000026,3.1291,3.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001_t0001_s004,1001,0,0,0,declarative,6,1,0,3.552,0,119,25,4.76,0.84,0.3448,0.069,0.0345,0.0,0.0,0.069,0.0,0.0,0.0,0.0345,0.4483,0.0345,0.1034,0.1379,0.0345,0.0,0.0,0.0,37.950000000000045,13.928333333333335,14.554592549557764,16.26666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001_t0001_s005,1001,0,0,0,declarative,7,1,1,3.581,0,148,29,5.103,0.7931,0.4839,0.3548,0.0323,0.0,0.0,0.1935,0.129,0.0323,0.0,0.0323,0.0645,0.0645,0.1613,0.1935,0.0323,0.0,0.0,0.0645,35.38500000000002,15.776666666666667,18.243605946275583,18.666666666666668,0.5423,0.147,0.042,0.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001_t0001_s006,1001,0,0,0,declarative,4,1,0,3.35,0,101,16,6.312,0.8125,0.2,0.25,0.0,0.0,0.0,0.15,0.0,0.1,0.0,0.0,0.35,0.05,0.15,0.0,0.0,0.0,0.0,0.0,5.532499999999999,16.462500000000002,19.287186520377343,26.400000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001_t0002_s001,1001,0,0,0,declarative,7,1,0,2.375,0,86,15,5.733,1.0,0.375,0.5625,0.0625,0.0,0.0,0.25,0.0625,0.125,0.125,0.0625,0.0,0.125,0.0625,0.0625,0.0625,0.0,0.0,0.0,22.410000000000025,13.860000000000003,14.554592549557764,16.666666666666668,0.0258,0.073,0.0,0.927,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001_t0002_s002,1001,0,0,0,declarative,7,1,0,2.0,0,73,14,5.214,0.9286,0.3333,0.3333,0.0,0.0,0.0,0.2,0.0667,0.0667,0.0,0.0,0.2,0.0,0.1333,0.2,0.0,0.0,0.0,0.0667,59.68214285714288,8.412857142857145,13.023866798666859,14.171428571428573,0.4939,0.198,0.0,0.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001_t0002_s003,1001,0,0,0,declarative,3,1,0,1.833,0,21,5,4.2,1.0,0.5,0.3333,0.0,0.0,0.1667,0.1667,0.0,0.1667,0.0,0.1667,0.0,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0,66.40000000000003,5.240000000000002,8.841846274778883,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001_t0002_s004,1001,0,0,0,declarative,5,1,0,1.9,0,31,8,3.875,1.0,0.3,0.4,0.0,0.1,0.0,0.3,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,92.965,2.280000000000001,3.1291,3.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
