sentence_id,debate_audio_id,is_question,is_imperative,is_exclamatory,sentence_form,parse_tree_depth,n_clauses,n_subordinate_clauses,mean_dependency_length,n_negations,n_chars,n_words_spacy,mean_word_length,type_token_ratio,pct_function_words,pct_content_words,pct_pronouns_first,pct_pronouns_second,pct_pronouns_third,pos_noun_rate,pos_verb_rate,pos_adj_rate,pos_adv_rate,pos_pron_rate,pos_propn_rate,pos_aux_rate,pos_det_rate,pos_adp_rate,pos_cconj_rate,pos_sconj_rate,pos_intj_rate,pos_num_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index,gunning_fog,vader_compound,vader_pos,vader_neg,vader_neu,emp_power,emp_government,emp_politics,emp_negative_emotion,emp_positive_emotion,emp_aggression,emp_anger,emp_fear,emp_joy,emp_optimism,emp_pride,emp_certainty,emp_achievement,emp_work,emp_money,emp_business,emp_economics,emp_law,emp_leader,emp_independence,emp_patriotism,emp_war,emp_violence,emp_weapon,emp_family,emp_children,emp_youth,emp_health,emp_medical_emergency,emp_religion,emp_morality,emp_ethics,emp_help,emp_love,emp_hate
1003_t0001_s001,1003,0,0,0,declarative,8,2,1,2.333,0,95,19,5.0,0.7895,0.4762,0.2857,0.0476,0.0476,0.0,0.0952,0.0476,0.1429,0.0,0.0952,0.1429,0.0476,0.0952,0.1905,0.0,0.0,0.0,0.0,45.06578947368425,11.693684210526317,13.023866798666859,13.915789473684212,0.7096,0.258,0.0,0.742,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003_t0001_s002,1003,0,0,0,declarative,4,1,0,2.455,0,35,9,3.889,1.0,0.2727,0.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0909,0.5455,0.0909,0.0,0.0909,0.0,0.0,0.0,0.0,66.10000000000002,6.2755555555555596,8.841846274778883,8.044444444444444,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003_t0001_s003,1003,0,0,0,declarative,7,1,0,3.2,0,102,22,4.636,0.8636,0.32,0.12,0.04,0.0,0.0,0.12,0.0,0.0,0.0,0.04,0.44,0.04,0.04,0.16,0.04,0.0,0.0,0.0,53.759545454545474,11.22636363636364,13.023866798666859,12.436363636363637,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003_t0001_s004,1003,0,0,0,declarative,4,1,0,3.762,0,104,17,6.118,0.8235,0.2381,0.2381,0.0,0.0,0.0,0.1429,0.0,0.0952,0.0,0.0,0.3333,0.0476,0.1429,0.0,0.0476,0.0,0.0,0.0,10.427058823529421,16.028235294117646,19.287186520377343,25.623529411764707,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003_t0002_s001,1003,0,0,0,declarative,7,1,1,3.04,0,118,23,5.13,0.913,0.48,0.4,0.04,0.0,0.0,0.2,0.16,0.04,0.0,0.04,0.0,0.08,0.16,0.16,0.04,0.0,0.0,0.08,45.00000000000003,12.945,14.554592549557764,14.600000000000001,0.1779,0.082,0.055,0.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003_t0002_s002,1003,0,0,0,declarative,7,1,1,3.567,2,130,27,4.815,0.8519,0.5,0.4,0.1,0.0,0.0,0.2333,0.1,0.0333,0.0333,0.1667,0.0,0.0333,0.1667,0.0667,0.0667,0.0,0.0,0.0,54.09666666666669,12.421481481481482,13.023866798666859,13.762962962962963,-0.5267,0.0,0.15,0.85,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003_t0002_s003,1003,0,0,0,declarative,6,1,0,2.0,0,53,10,5.3,0.9,0.4167,0.4167,0.0,0.0,0.0,0.25,0.0833,0.0833,0.0,0.0,0.0833,0.0,0.1667,0.25,0.0,0.0,0.0,0.0,64.9245454545455,6.936363636363637,11.20814326018867,11.672727272727274,0.4939,0.242,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003_t0002_s004,1003,0,0,0,declarative,2,1,0,0.5,0,7,1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.97999999999996,20.200000000000006,8.841846274778883,40.400000000000006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003_t0002_s005,1003,0,0,0,declarative,4,1,1,1.714,0,26,6,4.333,1.0,0.2857,0.4286,0.0,0.1429,0.0,0.1429,0.2857,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,87.94500000000002,2.4833333333333343,3.1291,2.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003_t0002_s006,1003,1,0,0,interrogative,5,1,1,3.238,0,92,18,5.111,1.0,0.381,0.381,0.0,0.0476,0.0,0.1905,0.1429,0.0476,0.0,0.0476,0.0952,0.0952,0.0952,0.0476,0.0476,0.0476,0.0,0.0,38.16500000000002,12.407777777777778,14.554592549557764,16.08888888888889,-0.9612,0.077,0.579,0.344,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0
