debate_audio_id,sentence_id,word_index_in_sentence,word,start_sec,end_sec,source
1034,1034_w0001,0,"debate,",0.251,0.651,whisper_canonical
1034,1034_w0001,1,the,1.112,1.212,whisper_canonical
1034,1034_w0001,2,first,1.312,1.672,whisper_canonical
1034,1034_w0001,3,and,1.892,1.972,whisper_canonical
1034,1034_w0001,4,potentially,2.032,2.773,whisper_canonical
1034,1034_w0001,5,only,3.033,3.293,whisper_canonical
1034,1034_w0001,6,match-up,3.353,3.833,whisper_canonical
1034,1034_w0001,7,between,4.053,4.374,whisper_canonical
1034,1034_w0001,8,Vice,4.434,4.654,whisper_canonical
1034,1034_w0001,9,President,4.694,5.114,whisper_canonical
1034,1034_w0001,10,Kamala,5.154,5.534,whisper_canonical
1034,1034_w0001,11,Harris,5.574,5.934,whisper_canonical
1034,1034_w0001,12,and,6.295,6.395,whisper_canonical
1034,1034_w0001,13,former,6.435,6.735,whisper_canonical
1034,1034_w0001,14,President,6.775,7.235,whisper_canonical
1034,1034_w0001,15,Donald,7.335,7.696,whisper_canonical
1034,1034_w0001,16,Trump.,7.736,8.016,whisper_canonical
1034,1034_w0002,0,Both,8.556,8.776,whisper_canonical
1034,1034_w0002,1,"candidates,",8.836,9.376,whisper_canonical
1034,1034_w0002,2,having,9.497,9.777,whisper_canonical
1034,1034_w0002,3,accepted,9.837,10.317,whisper_canonical
1034,1034_w0002,4,their,10.357,10.517,whisper_canonical
1034,1034_w0002,5,party's,10.557,10.937,whisper_canonical
1034,1034_w0002,6,nominations,10.997,11.858,whisper_canonical
1034,1034_w0002,7,at,11.958,12.038,whisper_canonical
1034,1034_w0002,8,the,12.078,12.138,whisper_canonical
1034,1034_w0002,9,conventions,12.198,12.819,whisper_canonical
1034,1034_w0002,10,earlier,12.999,13.379,whisper_canonical
1034,1034_w0002,11,this,13.399,13.619,whisper_canonical
1034,1034_w0002,12,"summer,",13.679,13.979,whisper_canonical
1034,1034_w0002,13,meet,14.52,14.72,whisper_canonical
1034,1034_w0002,14,tonight,14.8,15.22,whisper_canonical
1034,1034_w0002,15,on,15.34,15.4,whisper_canonical
1034,1034_w0002,16,the,15.42,15.5,whisper_canonical
1034,1034_w0002,17,debate,15.54,15.86,whisper_canonical
1034,1034_w0002,18,stage,15.92,16.261,whisper_canonical
1034,1034_w0002,19,for,16.321,16.441,whisper_canonical
1034,1034_w0002,20,the,16.481,16.561,whisper_canonical
1034,1034_w0002,21,first,16.621,16.881,whisper_canonical
1034,1034_w0002,22,time,16.941,17.261,whisper_canonical
1034,1034_w0002,23,in,17.421,17.501,whisper_canonical
1034,1034_w0002,24,Philadelphia.,17.541,18.202,whisper_canonical
1034,1034_w0003,0,in,18.862,18.922,whisper_canonical
1034,1034_w0003,1,the,18.962,19.082,whisper_canonical
1034,1034_w0003,2,same,19.162,19.402,whisper_canonical
1034,1034_w0003,3,city,19.502,19.783,whisper_canonical
1034,1034_w0003,4,where,19.883,20.063,whisper_canonical
1034,1034_w0003,5,the,20.103,20.183,whisper_canonical
1034,1034_w0003,6,Constitution,20.223,21.003,whisper_canonical
1034,1034_w0003,7,was,21.064,21.204,whisper_canonical
1034,1034_w0003,8,written,21.264,22.444,whisper_canonical
1034,1034_w0003,9,years,23.205,23.525,whisper_canonical
1034,1034_w0003,10,ago.,23.725,24.025,whisper_canonical
1034,1034_w0004,0,Tonight's,24.045,25.026,whisper_canonical
1034,1034_w0004,1,debate,25.066,25.486,whisper_canonical
1034,1034_w0004,2,is,25.827,25.907,whisper_canonical
1034,1034_w0004,3,at,26.007,26.087,whisper_canonical
