debate_audio_id,turn_id,sentence_id,sentence_index_in_turn,speaker_raw,n_words,n_words_matched,start_sec,end_sec,duration_sec,sentence_text
1001,1001_t0001,1001_t0001_s001,0,LEHRER,2,2,9.349,9.809,0.46,Good evening.
1001,1001_t0001,1001_t0001_s002,1,LEHRER,23,22,10.61,18.935,8.325,On behalf of the Commission on Presidential Debates I am pleased to welcome you to this first presidential debate of the 1988 campaign.
1001,1001_t0001,1001_t0001_s003,2,LEHRER,8,6,19.716,22.017,2.301,I’m Jim Lehrer of the McNeil-Lehrer News Hour.
1001,1001_t0001,1001_t0001_s004,3,LEHRER,24,20,22.498,33.545,11.047,My colleagues on the panel are John Mashek of The Atlanta Journal-Constitution; Ann Groer of The Orlando Sentinel; and Peter Jennings of ABC News.
1001,1001_t0001,1001_t0001_s005,4,LEHRER,30,29,34.574,46.379,11.805,For the next 90 minutes we will be questioning the candidates for president of the United States following a format designed and agreed to by representatives of the two candidates.
1001,1001_t0001,1001_t0001_s006,5,LEHRER,16,14,47.52,78.016,30.496,"The candidates are Vice President George Bush, the Republican nominee; Governor Michael Dukakis, the Democratic nominee."
1001,1001_t0002,1001_t0002_s001,0,LEHRER,15,15,89.883,96.828,6.945,Our questions this evening will be about equally divided between foreign and domestic policy matters.
1001,1001_t0002,1001_t0002_s002,1,LEHRER,14,14,97.208,101.991,4.783,The first question by agreement between the two candidates goes to Vice President Bush.
1001,1001_t0002,1001_t0002_s003,2,LEHRER,5,5,102.831,104.212,1.381,It is a domestic question.
1001,1001_t0002,1001_t0002_s004,3,LEHRER,8,8,104.633,106.774,2.141,"You have two minutes for an answer, sir."
1001,1001_t0002,1001_t0002_s005,4,LEHRER,15,15,108.015,114.739,6.724,The polls say the number one domestic issue to a majority of voters is drugs.
1001,1001_t0002,1001_t0002_s006,5,LEHRER,16,16,115.94,123.773,7.833,What is there about these times that drives or draws so many Americans to use drugs?
1001,1001_t0003,1001_t0003_s001,0,BUSH,8,7,126.516,129.54,3.024,I think we’ve seen a deterioration of values.
1001,1001_t0003,1001_t0003_s002,1,BUSH,16,16,130.602,134.927,4.325,I think for a while as a nation we condoned those things we should have condemned.
1001,1001_t0003,1001_t0003_s003,2,BUSH,29,28,135.976,148.062,12.086,"For a while, as I recall, it even seems to me that there was talk of legalizing or decriminalizing marijuana and other drugs, and I think that’s all wrong."
1001,1001_t0003,1001_t0003_s004,3,BUSH,35,33,148.622,160.819,12.197,"So we’ve seen a deterioration in values, and one of the things that I think we should do about it in terms of cause is to instill values into the young people in our schools."
1001,1001_t0003,1001_t0003_s005,4,BUSH,15,15,160.86,165.943,5.083,"We got away, we got into this feeling that value- free education was the thing."
1001,1001_t0003,1001_t0003_s006,5,BUSH,20,19,166.443,171.767,5.324,And I don’t believe that at all I do believe there are fundamental rights and wrongs as far as use.
1001,1001_t0003,1001_t0003_s007,6,BUSH,19,19,172.427,179.338,6.911,"And, of course, as far as the how we make it better, yes, we can do better on interdiction."
1001,1001_t0003,1001_t0003_s008,7,BUSH,22,20,179.878,189.301,9.423,"But we’ve got to do a lot better on education, and we have to do, be tougher on those who commit crimes."
1001,1001_t0003,1001_t0003_s009,8,BUSH,8,7,189.712,192.603,2.892,We’ve got to get after the users more.
1001,1001_t0003,1001_t0003_s010,9,BUSH,7,7,192.923,195.964,3.041,We have to change this whole culture.
1001,1001_t0003,1001_t0003_s011,10,BUSH,8,7,196.364,199.065,2.701,"You know, I saw a movie – “Crocodile Dundee."
1001,1001_t0003,1001_t0003_s012,11,BUSH,17,17,200.605,208.185,7.58,"” And I saw the cocaine scene treated with humor, as though this was a humorous little incident."
1001,1001_t0003,1001_t0003_s013,12,BUSH,3,2,209.066,209.687,0.621,And it’s bad.
1001,1001_t0003,1001_t0003_s014,13,BUSH,7,7,210.407,211.869,1.462,Everybody ought to be in this thing.
1001,1001_t0003,1001_t0003_s015,14,BUSH,8,8,212.509,217.314,4.805,"Entertainment industry, people involved in the schools, education."
1001,1001_t0003,1001_t0003_s016,15,BUSH,12,10,217.594,221.095,3.501,And it isn’t a Republican or a Democrat or a liberal problem.
1001,1001_t0003,1001_t0003_s017,16,BUSH,11,11,221.556,225.798,4.242,But we have got to instill values in these young people.
1001,1001_t0003,1001_t0003_s018,17,BUSH,36,36,226.398,239.684,13.286,And I have put forward a many-point drug program that includes what I would do as president of the United States; in terms of doing better on interdiction; and in terms of better in the neighborhoods.
1001,1001_t0003,1001_t0003_s019,18,BUSH,20,19,240.164,246.389,6.225,"But I think we’re all in this together, and my plea to the American people is values in the schools."
1001,1001_t0004,1001_t0004_s001,0,LEHRER,7,7,248.13,249.712,1.582,"Governor, you have one minute to respond."
1001,1001_t0005,1001_t0005_s001,0,DUKAKIS,4,4,250.172,250.813,0.641,I agree with Mr.
1001,1001_t0005,1001_t0005_s002,1,DUKAKIS,5,5,250.853,252.394,1.541,Bush that values are important.
1001,1001_t0005,1001_t0005_s003,2,DUKAKIS,12,11,253.635,257.018,3.383,But it’s important that our leaders demonstrate those values from the top.
1001,1001_t0005,1001_t0005_s004,3,DUKAKIS,19,18,258.219,262.883,4.664,That means those of us who are elected to positions of political leadership have to reflect those values ourselves.
1001,1001_t0005,1001_t0005_s005,4,DUKAKIS,14,13,264.465,268.028,3.563,Here we are with a government that’s been dealing with a drug-running Panamanian dictator.
1001,1001_t0005,1001_t0005_s006,5,DUKAKIS,12,10,268.772,272.438,3.666,We’ve been dealing with him; he’s been dealing drugs to our kids.
1001,1001_t0005,1001_t0005_s007,6,DUKAKIS,13,13,273.719,276.481,2.762,Governors like me and others have been trying to deal with the consequences.
1001,1001_t0005,1001_t0005_s008,7,DUKAKIS,42,39,277.482,289.41,11.928,"I remember being in a high school in my own state as we were organizing something we call the Governor’s Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help."
1001,1001_t0005,1001_t0005_s009,8,DUKAKIS,7,6,290.081,292.152,2.071,We’re providing that young woman with help.
1001,1001_t0005,1001_t0005_s010,9,DUKAKIS,38,36,293.493,303.686,10.193,"But I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers."
1001,1001_t0005,1001_t0005_s011,10,DUKAKIS,9,9,304.206,306.627,2.421,"Values begin at the top, in the White House."
1001,1001_t0005,1001_t0005_s012,11,DUKAKIS,21,18,307.087,312.808,5.721,Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.
1001,1001_t0006,1001_t0006_s001,0,LEHRER,4,4,313.789,315.389,1.6,"Governor, a follow-up question."
1001,1001_t0006,1001_t0006_s002,1,LEHRER,7,7,315.929,317.229,1.3,You have two minutes to answer it.
1001,1001_t0006,1001_t0006_s003,2,LEHRER,19,19,317.85,323.231,5.381,"Are you suggesting, sir, that President Reagan is one of the causes of the drug problem in this country?"
1001,1001_t0007,1001_t0007_s001,0,DUKAKIS,46,43,323.971,340.917,16.946,"I’m saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention."
1001,1001_t0007,1001_t0007_s002,1,DUKAKIS,2,2,340.957,341.257,0.3,And Mr.
1001,1001_t0007,1001_t0007_s003,2,DUKAKIS,10,9,341.277,343.839,2.562,Bush is right – the two go hand in hand.
1001,1001_t0007,1001_t0007_s004,3,DUKAKIS,78,76,345.099,367.778,22.679,"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don’t understand that that sends out a very, very bad message to our young people, it’s a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you."
1001,1001_t0007,1001_t0007_s005,4,DUKAKIS,52,51,368.578,384.687,16.109,"Now, I’ve outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together."
1001,1001_t0007,1001_t0007_s006,5,DUKAKIS,8,8,386.367,388.167,1.8,But we also have to take demand seriously.
1001,1001_t0007,1001_t0007_s007,6,DUKAKIS,13,11,388.187,390.748,2.561,"You know, we have five percent of the world’s population in this country."
1001,1001_t0007,1001_t0007_s008,7,DUKAKIS,8,4,391.078,392.63,1.552,We’re consuming 50 percent of the world’s cocaine.
1001,1001_t0007,1001_t0007_s009,8,DUKAKIS,5,0,392.631,392.633,0.002,Doing better in the neighborhoods.
1001,1001_t0007,1001_t0007_s010,9,DUKAKIS,20,0,392.633,392.644,0.01,"But I think we’re all in this together, and my plea to the American people is values in the schools."
1001,1001_t0008,1001_t0008_s001,0,LEHRER,7,0,392.644,392.648,0.003,"Governor, you have one minute to respond."
1001,1001_t0009,1001_t0009_s001,0,DUKAKIS,4,0,392.648,392.65,0.002,I agree with Mr.
1001,1001_t0009,1001_t0009_s002,1,DUKAKIS,5,0,392.65,392.652,0.002,Bush that values are important.
1001,1001_t0009,1001_t0009_s003,2,DUKAKIS,12,0,392.653,392.659,0.006,But it’s important that our leaders demonstrate those values from the top.
1001,1001_t0009,1001_t0009_s004,3,DUKAKIS,19,0,392.66,392.669,0.01,That means those of us who are elected to positions of political leadership have to reflect those values ourselves.
1001,1001_t0009,1001_t0009_s005,4,DUKAKIS,14,0,392.67,392.677,0.007,Here we are with a government that’s been dealing with a drug-running Panamanian dictator.
1001,1001_t0009,1001_t0009_s006,5,DUKAKIS,12,0,392.678,392.684,0.006,We’ve been dealing with him; he’s been dealing drugs to our kids.
1001,1001_t0009,1001_t0009_s007,6,DUKAKIS,13,0,392.684,392.691,0.007,Governors like me and others have been trying to deal with the consequences.
