sentence_id,sentence_text
1026_t0090_s007,"There are a number of things that sound good, but frankly, we just can’t afford them."
1027_t0035_s002,"Manufacturing jobs went up also in the 1990s, if we’re actually going to look at the facts."
1033_t0207_s003,"We’re over 400 miles of brand new wall, you see the numbers, and we let people in, but they have to come in legally and they come in through –"
1033_t0321_s001,"I do rule out banning fracking because the answer we need — we need other industries to transition to get to, ultimately, a complete zero emissions by 2025."
1007_t0205_s012,"You bet your hat we can govern because we will be in there together and we will figure out what to do, and you won’t tolerate gridlock, you won’t tolerate endless meandering and wandering around, and you won’t tolerate non-performance."
1025_t0121_s014,"Well, in fact we saved 1,000 jobs."
1017_t0020_s015,"Two weeks ago, there was a meeting of the North Atlantic Council, which is the political arm of NATO."
1026_t0046_s013,That’s part of the reason why the Libyans stand with us.
1025_t0014_s018,"Well, the president took Detroit bankrupt."
1001_t0071_s001,I haven’t sorted out the penalties.
1027_t0279_s002,"Wait a minute, Lester."
1015_t0008_s002,"I believe I’m going to win, because the American people know I know how to lead."
1023_t0073_s013,There’s no doubt about it.
1027_t0216_s023,But I’m all for NATO.
1004_t0102_s017,So we’re still in the fight.
1015_t0118_s004,My administration started what’s called the Proliferation Security Initiative.
1019_t0177_s021,"But we still have a long way to go before we can declare America safe, and that means doing a better job along our borders, as well."
1023_t0008_s002,"The president has a view very similar to the view he had when he ran four years, that a bigger government, spending more, taxing more, regulating more — if you will, trickle-down government — would work."
1030_t0187_s006,"But just briefly, the Clinton Foundation made it possible for 11 million people around the world with HIV-AIDS to afford treatment, and that’s about half of all the people in the world who are getting treatment."
1014_t0012_s001,"And I specifically would like to know whether Governor Bush will support the Dingle-Norwood bill, which is the main one pending."
1029_t0188_s021,Gadhafi’s out.
1011_t0097_s020,Those are very clear differences.
1004_t0082_s017,"And I’ve stood up with these people, and I understand what you have to do to be strong in this situation, and it’s moving, not as fast as we’d like."
1017_t0066_s016,And he could have lowered the cost of Medicare and lowered your taxes and lowered the costs to seniors.
1021_t0055_s004,It’s just…
1004_t0070_s003,These interest rates we have now don’t make any sense.
1019_t0114_s013,"And I have a record — and Somalia, I opposed that we should turn — turn the force in Somalia from a peacekeeping force into a peacemaking force, which they were not capable of."
1007_t0111_s003,"In New Hampshire Senator Kerrey said you ought to level, you ought to tell the truth about it."
1031_t0422_s002,.
1007_t0053_s001,To this?
1031_t0776_s001,"No, I don’t support the Green New Deal."
1026_t0194_s003,Twenty-three million Americans still struggling to find a good job.
1033_t0305_s010,"As far as they’re concerned, if you had no window it would be a lovely thing."
1011_t0135_s001,I can’t let the man continue with fuzzy math.
1013_t0163_s015,Now it’s true that we disagree on this.
1011_t0024_s002,He talks about numbers.
1027_t0096_s008,"And when these people are going to put billions and billions of dollars into companies, and when they’re going to bring $2."
1018_t0100_s020,“We fixed it.
1025_t0027_s004,We’re actually drilling more on public lands than in the previous administration and my — the previous president was an oil man.
1026_t0012_s002,"But next door, of course, we have Egypt."
1011_t0134_s001,"If I could respond, Jim."
1018_t0087_s007,"$89 billion last year to the top 1 percent of Americans, but kids lost their after-school programs."
1029_t0110_s005,"The whole thing was a fraud, and it doesn’t work."
1031_t0293_s008,They’re closing.
1021_t0075_s001,"Well, thank you for the question."
