sentence_id,damsl_tags,beads_tags,n_damsl_tags,n_beads_tags
1001_t0001_s001,GR,,1,0
1001_t0001_s002,GR,,1,0
1001_t0001_s003,S,,1,0
1001_t0001_s004,S,,1,0
1001_t0001_s005,S,,1,0
1001_t0001_s006,S,,1,0
1001_t0002_s001,S,,1,0
1001_t0002_s002,S,,1,0
1001_t0002_s003,S,,1,0
1001_t0002_s004,S; TG,,2,0
1001_t0002_s005,S-Inform,,1,0
1001_t0002_s006,Q-W; OQ,,2,0
1001_t0003_s001,S; IAFA,IP,2,1
1001_t0003_s002,S,IP,1,1
1001_t0003_s003,S,IP; SE,1,2
1001_t0003_s004,S,UF; IP,1,2
1001_t0003_s005,S,IP,1,1
1001_t0003_s006,S,IP,1,1
1001_t0003_s007,S,UF,1,1
1001_t0003_s008,S,UF,1,1
1001_t0003_s009,S,,1,0
1001_t0003_s010,S,UF,1,1
1001_t0003_s011,S; HS,,2,0
1001_t0003_s012,S,,1,0
1001_t0003_s013,S,,1,0
1001_t0003_s014,S,UF,1,1
1001_t0003_s015,S,,1,0
1001_t0003_s016,S,UF,1,1
1001_t0003_s017,S,AE; UF,1,2
1001_t0003_s018,S,IT,1,1
1001_t0003_s019,S; IAFA,AE; UF,2,2
1001_t0004_s001,S,,1,0
1001_t0005_s001,AGR,,1,0
1001_t0005_s002,S; AGR,,2,0
1001_t0005_s003,S,IP,1,1
1001_t0005_s004,S,UF,1,1
1001_t0005_s005,S,AF; ATTR,1,2
1001_t0005_s006,S,AE; ATTR,1,2
1001_t0005_s007,S,IT,1,1
1001_t0005_s008,S; HS,AE,2,1
1001_t0005_s009,S,IT,1,1
1001_t0005_s010,S,IP; ATTR,1,2
1001_t0005_s011,S,IP,1,1
1001_t0005_s012,S; HS,IP,2,1
1001_t0006_s001,MS,,1,0
1001_t0006_s002,S,,1,0
1001_t0006_s003,YNQ,REB; CB,1,2
1001_t0007_s001,S; IAFA; APO,,3,0
1001_t0007_s002,S,,1,0
1001_t0007_s003,S; AGR,,2,0
1001_t0007_s004,S; EXPL,AE; CB,2,2
1001_t0007_s005,S; S-Inform; IAFA-OF,IT,3,1
1001_t0007_s006,S,,1,0
1001_t0007_s007,S; S-Inform,,2,0
1001_t0007_s008,S; S-Inform,SE,2,1
1001_t0007_s009,S,,1,0
1001_t0007_s010,S,UF; IP,1,2
1001_t0008_s001,IAFA-OF; TG,,2,0
1001_t0009_s001,AGR,,1,0
1001_t0009_s002,S; AGR,,2,0
1001_t0009_s003,S,IP,1,1
1001_t0009_s004,S,,1,0
1001_t0009_s005,S,PB; ATTR,1,2
1001_t0009_s006,S,AF; ATTR,1,2
1001_t0009_s007,S,IT,1,1
1001_t0009_s008,S; HS,AE,2,1
1001_t0009_s009,S,IT,1,1
1001_t0009_s010,S,AF; IP; ATTR,1,3
