debate_audio_id,turn_id,speaker_raw,n_words,start_sec,end_sec,duration_sec,text
1003,1003_t0001,SHAW,67,9.12,71.83,62.71,"On behalf of the Commission on Presidential Debates, I am pleased to welcome you to the second presidential debate. I am Bernard Shaw of CNN, Cable News Network. My colleagues on the panel are Ann Compton of ABC NEWS; Margaret Warner of Newsweek magazine; and Andrea Mitchell of NBC NEWS. The candidates are Vice President George Bush, the Republican nominee; and Governor Michael Dukakis, the Democratic nominee."
1003,1003_t0002,SHAW,87,71.83,111.87,40.04,"For the next 90 minutes we will be questioning the candidates following a format designed and agreed to by representatives of the two campaigns. However, there are no restrictions on the questions that my colleagues and I can ask this evening, and the candidates have no prior knowledge of our questions. By agreement between the candidates, the first question goes to Gov. Dukakis. You have two minutes to respond. Governor, if Kitty Dukakis were raped and murdered, would you favor an irrevocable death penalty for the killer?"
1003,1003_t0003,DUKAKIS,364,113.34,218.1,104.76,"No, I don't, Bernard. And I think you know that I've opposed the death penalty during all of my life. I don't see any evidence that it's a deterrent, and I think there are better and more effective ways to deal with violent crime. We've done so in my own state. And it's one of the reasons why we have had the biggest drop in crime of any industrial state in America; why we have the lowest murder rate of any industrial state in America. But we have work to do in this nation. We have work to do to fight a real war, not a phony war, against drugs. And that's something I want to lead, something we haven't had over the course of the past many years, even though the Vice President has been at least allegedly in charge of that war. We have much to do to step up that war, to double the number of drug enforcement agents, to fight both here and abroad, to work with our neighbors in this hemisphere. And I want to call a hemispheric summit just as soon after the 20th of January as possible to fight that war. But we also have to deal with drug education prevention here at home. And that's one of the things that I hope I can lead personally as the President of the United States. We've had great success in my own state. And we've reached out to young people and their families and been able to help them by beginning drug education and prevention in the early elementary grades. So we can fight this war, and we can win this war. And we can do so in a way that marshals our forces, that provides real support for state and local law enforcement officers who have not been getting that support, and do it in a way which will bring down violence in this nation, will help our youngsters to stay away from drugs, will stop this avalanche of drugs that's pouring into the country, and will make it possible for our kids and our families to grow up in safe and secure and decent neighborhoods."
1003,1003_t0004,SHAW,6,218.1,220.09,1.99,"Mr. Vice President, your one-minute rebuttal."
1003,1003_t0005,BUSH,129,220.9,271.76,50.86,"Well, a lot of what this campaign is about, it seems to me Bernie, goes to the question of values. And here I do have, on this particular question, a big difference with my opponent. You see, I do believe that some crimes are so heinous, so brutal, so outrageous, and I'd say particularly those that result in the death of a police officer, for those real brutal crimes, I do believe in the death penalty, and I think it is a deterrent, and I believe we need it. And I'm glad that the Congress moved on this drug bill and have finally called for that related to these narcotics drug kingpins. And so we just have an honest difference of opinion: I support it and he doesn't."
1003,1003_t0006,SHAW,58,271.76,301.05,29.29,"Now to you, Vice President Bush. I quote to you this from Article III of the 20th amendment to the Constitution. Quote: ""If at the time fixed for the beginning of the term of the President the President-elect shall have died, the Vice President elect shall become president,"" meaning, if you are elected and die before inauguration day"
1003,1003_t0007,BUSH,1,301.05,301.34,0.29,Bernie.
1003,1003_t0008,SHAW,21,302.39,315.4,13.01,"automatically automatically, Dan Quayle would become the 41st President of the United States. What have you to say about that possibility?"
1003,1003_t0009,BUSH,50,315.57,339.41,23.84,"I'd have confidence in him. And I made a good selection. And I've never seen such a pounding, an unfair pounding, on a young Senator in my entire life. And I've never seen a presidential campaign where the presidential nominee runs against my vice presidential nominee; never seen one before."
1003,1003_t0010,BUSH,256,339.63,426.9,87.27,"But you know, Lloyd Bentsen jumped on Dan Quayle, when Dan Quayle said, he's had roughly the same amount of experience. He had two terms in the Congress. He had two terms in the Senate, serving his second term. He founded authored, the job training partnership act. It says to American working men and women that are thrown out of work for no fault of their own that they're going to have jobs. We're moving into a new competitive age, and we need that kind of thing. He, unlike my opponent, is an expert in national defense; helped amend the INF treaty so we got a good, sound treaty, when these people over here were talking about a freeze. If we'd listened to them, we would never have had a treaty. And so I have great confidence in him. And it's turning around. You know, the American people are fair. They don't like it when there's an unfair pounding and kind of hooting about people. They want to judge it on the record itself. And so I'm proud of my choice. And you know, I don't think age is the only criterion. But I'll tell you something, I'm proud that people who are 30 years old and 40 years old now have someone in their generation that is going to be vice president of the United States of America. I made a good selection. The American people are seeing it, and I'm proud of it; that's what I'd say. And he could do the job."
