sentence_id,reasoning,damsl_tags,beads_tags,n_damsl_tags,n_beads_tags
1026_t0090_s007,Declarative asserting policies are unaffordable; expresses a stance framing opponent's proposals as fiscally irresponsible.,S,IP; CB,1,2
1027_t0035_s002,States a fact about job growth while implying opponent ignores facts; a rebuttal with factual content.,S-Inform; CH,REB; SE,2,2
1033_t0207_s003,"Cites numbers on wall construction, self-promoting an accomplishment.",S-Inform,IT,1,1
1033_t0321_s001,Answers whether he'd ban fracking (no) and explains reasoning with target year.,S-Inform; ANS; EXPL,IP,3,1
1007_t0205_s012,"Emphatic declarative asserting ability to govern together, unity framing with collective action.",S,UF,1,1
1025_t0121_s014,"States a numeric claim of jobs saved, taking credit.",S-Inform,IT,1,1
1017_t0020_s015,Neutral factual statement referencing a recent NATO meeting and date.,S-Inform; HS,,2,0
1026_t0046_s013,Explains reasoning for an outcome; declarative statement.,S; EXPL,,2,0
1025_t0014_s018,"Assigns blame to the president for Detroit's bankruptcy, an attack framing.",S; CH,ATTR; REB,2,2
1001_t0071_s001,"Admits not having worked out details; a candid statement, non-answer on specifics.",S,IA,1,1
1027_t0279_s002,"Interruption addressed to the moderator, bidding to hold the floor.",TT; INT,,2,0
1015_t0008_s002,Personal stance and self-promotion combined with an appeal to pride in the American people.,S; EXPL,IT; IP,2,2
1023_t0073_s013,Emphatic declarative asserting certainty; no bias.,S,,1,0
1027_t0216_s023,Personal stance declarative expressing support for NATO.,S,IP,1,1
1004_t0102_s017,Plain declarative continuing an assertion; no bias.,S,,1,0
1015_t0118_s004,Factual statement about a program the administration started; takes credit.,S; S-Inform,IT,2,1
1019_t0177_s021,Statement about needing to do better; references fear about safety.,S,AF,1,1
1023_t0008_s002,Characterizes the opponent's view negatively with the loaded 'trickle-down government' label.,S; CH,REB; CB,2,2
1030_t0187_s006,"Cites statistics defending the Clinton Foundation, selectively favorable framing after a challenge.",S; S-Inform,IT; SE,2,2
1014_t0012_s001,Wh-question/open request seeking to know the opponent's position on a bill.,Q-W; OQ,,2,0
1029_t0188_s021,Short factual assertion about a foreign leader being removed from power; possibly implying credit but stated plainly.,S,,1,0
1011_t0097_s020,Declarative statement characterizing differences between positions.,S,,1,0
1004_t0082_s017,"Speaker asserts personal involvement and understanding, self-referential claim of strength.",S,IT,1,1
1017_t0066_s016,"Statement about what the opponent could have done, implying failure and blame.",S,ATTR; REB,1,2
1021_t0055_s004,"Incomplete fragment, no clear discourse content.",S,,1,0
1004_t0070_s003,Declarative opinion/assertion about interest rates.,S,IP,1,1
1019_t0114_s013,"Speaker cites own record and past position on Somalia, self-referential credit.",S; HS,IT,2,1
1007_t0111_s003,"References a named senator's past statement, historical/attributive reference.",S; HS,ATTR,2,1
1031_t0422_s002,"Empty punctuation, no content.",S,,1,0
1007_t0053_s001,Fragmentary question phrase seeking clarification about a referent.,YNQ,,1,0
1031_t0776_s001,Opens with 'No' as a direct answer rejecting support for a policy.,REJ; ANS,IP,2,1
1026_t0194_s003,Provides a factual figure about unemployed Americans; new statistical content.,S-Inform,,1,0
1033_t0305_s010,"Characterizes opponents' views sarcastically, a straw-man mischaracterization.",S,REB; CB,1,2
1011_t0135_s001,"Statement dismissing opponent's math as 'fuzzy,' a challenge to his accuracy.",S; CH,PER; REB,2,2
1013_t0163_s015,Acknowledges a disagreement with opponent on the issue.,S; DIS,REB,2,1
1011_t0024_s002,Plain statement about what opponent does.,S,,1,0
1027_t0096_s008,"Fragmentary statement referencing dollar amounts, incomplete thought.",S,,1,0
1018_t0100_s020,Short quoted statement.,S,,1,0
1025_t0027_s004,Factual claim comparing drilling to previous administration; self-promotional credit.,S-Inform,IT,1,1
1026_t0012_s002,Statement introducing a geographic/topical reference.,S,,1,0
1011_t0134_s001,Requesting permission to speak/take the floor.,TT; T-REQ,,2,0
1018_t0087_s007,"Statement citing a dollar figure while contrasting the top 1 percent against kids, framing selectively for emotional effect.",S-Inform,AE; SE,1,2
1029_t0110_s005,Declarative with loaded term 'fraud' attacking a policy.,S; CH,CB,2,1
1031_t0293_s008,Plain factual assertion.,S,,1,0
1021_t0075_s001,Expression of thanks.,THK,,1,0
1011_t0031_s002,Imperative-like bid to hold floor and address seniors.,TT,AE,1,1
1003_t0003_s008,Statement of personal aspiration that jabs at the opponent's record with 'allegedly in charge.',S; IAFA; REJ,PER; ATTR,3,2
1019_t0185_s001,Self-referential statement promoting own experience.,S; HS,IT,2,1
1025_t0265_s024,Statement of aspiration invoking future generations.,S,AE; IP,1,2
1023_t0189_s017,Wh-question posing a policy issue.,Q-W,,1,0
1007_t0071_s013,"Describes opponent's contradictory position, framing him as inconsistent, referencing his stance as a rebuttal.",S; CH,REB; CB,2,2
1015_t0048_s003,"A statement honoring sacrifices, carrying patriotic/emotional weight.",S,APAT,1,1
1017_t0127_s002,"A plain declarative expressing uncertainty about drawing a line, framed as personal.",S,IP,1,1
1011_t0097_s005,"Informative statement citing a statistic about tax cuts benefiting the wealthy, referencing opponent's plan critically.",S-Inform; CH,REB; SE,2,2
1022_t0141_s014,Emphatic statement pointing to opponent's record as blame attribution.,S; CH,ATTR; REB,2,2
1033_t0247_s005,Quotes opponent's past statement to attribute blame; the term 'super predators' is loaded.,S; CH,ATTR; REB,2,2
1022_t0127_s006,A plain factual statistic about health insurance cost; neutral.,S-Inform,,1,0
1018_t0035_s004,Declarative expressing importance; hortatory but not imperative.,S,IP,1,1
1027_t0150_s009,"Cites shooting statistics in Chicago, likely used to make a point with selective/fear framing.",S-Inform,AF; SE,1,2
1031_t0224_s001,"Contrasts opponent's position with own, and claims credit for shutting the country down.",S; CH,IT; REB; CB,2,3
1010_t0135_s015,Speaker steers the topic toward opponent's responsibility; a statement holding the floor and directing focus.,S; MS,REB,2,1
1006_t0102_s002,Plain declarative asserting how elections function; general statement.,S,,1,0
1006_t0102_s008,Hypothetical statement about political process; declarative reasoning.,S,,1,0
1015_t0042_s021,Plain declarative assertion about a group's stake.,S,,1,0
1030_t0319_s005,Sweeping generalization that nobody does it right; a statement with hasty generalization.,S,CB,1,1
1003_t0050_s012,Factual/opinion statement warning of worsening problems; contains mild fear framing and personal stance about needed leadership.,S,AF,1,1
1010_t0015_s007,Cites a specific claim attributed to opponent with a numeric rate; challenges/references their statement.,S-Inform; CH,REB,2,1
1007_t0123_s006,Opinion about what opponent should have done; personal stance framed with 'I think' and criticizes opponent.,S; CH,IP; REB,2,2
1031_t0334_s001,Wh-question challenging opponent's inaction over 25 years; adversarial jab embedded in a question.,Q-W; CH,AEX; REB,2,2
1017_t0009_s008,Speaker claims personal commitment/credit to protect Americans; patriotic self-promotion.,S,APAT; IT,1,2
1014_t0004_s001,A fragment 'Mr.' likely part of an address; no clear discourse act or bias.,,,0,0
1017_t0101_s019,"Claims positive outcome under speaker's tenure, self-crediting statement.",S; S-Inform,IT,2,1
1011_t0133_s012,"Attacks opponent's plan as overly complex, requiring IRS agents — a critique of opponent with exaggeration.",S; CH,ATTR; REB,2,2
1014_t0113_s016,A question about whether the family could endure the business; open reflective question.,Q-W,,1,0
1031_t0226_s004,Plain declarative referring to experience; neutral.,S,,1,0
1019_t0128_s013,Labels a group as 'axis of evil' — loaded outgroup framing invoking threat.,S,AF; PB,1,2
